division,adress,cctv,lat,long,cctvCnt,date
강서구,C251099_화곡1동 938-2(고정2) - 모텔로데오 방향,방범,37.52956098,126.8402234,1,2021-01-29
강서구,C261028_화곡2동 845-17(고정1) 국회대로 방향,방범,37.52958511,126.8566401,1,2021-01-29
강서구,C261028_화곡2동 845-17(고정2) 신도 아파트 방향,방범,37.52959416,126.8566456,1,2021-01-29
강서구,C261028_화곡2동 845-17(고정3) 곰달래 아파트 방향,방범,37.5296166,126.8566285,1,2021-01-29
강서구,C261028_화곡2동 845-17(고정4) 뜸부기 어린이공원 방향,방범,37.52962117,126.8566398,1,2021-01-29
강서구,C261035_화곡2동 852-16(고정1) 국회대로 방향,방범,37.529637,126.8554116,1,2021-01-29
강서구,C301026_화곡8동 879-6,방범,37.529643,126.851572,1,2021-01-29
강서구,C301026_화곡8동 879-6(보조1) 하마터 어린이공원 방향,방범,37.52964302,126.851572,1,2021-01-29
강서구,C301026_화곡8동 879-6(보조2) 강서로 8길 방향,방범,37.52964302,126.851572,1,2021-01-29
강서구,I306002_화곡8동 893-1 (KT화곡지사),방범,37.5297,126.84811,1,2021-01-29
강서구,C251115_화곡1동 900-46(고정2),방범,37.5297226,126.845193,1,2021-01-29
강서구,C251115_화곡1동 900-46(고정3),방범,37.5297226,126.845193,1,2021-01-29
강서구,C251115_화곡1동 900-46(고정1),방범,37.52972267,126.8451933,1,2021-01-29
강서구,C251099_화곡1동 938-2(고정3) - 월정로 방향,방범,37.5297648,126.84081,1,2021-01-29
강서구,C251099_화곡1동 938-2(고정1) - 유림노르웨이숲아파트 방향,방범,37.5297648,126.8408101,1,2021-01-29
강서구,C261008(A1085)_화곡2동 884-13,방범,37.5297687,126.8531215,1,2021-01-29
강서구,C261008(A1085)_화곡2동 884-13(보조1) 삼익 아파트 방향,방범,37.52977,126.853134,1,2021-01-29
강서구,C251037(A4016)_화곡1동 916-12(보조1) 효심공원방향,방범,37.529865,126.84274,1,2021-01-29
강서구,C251037(A4016)_화곡1동 925-1(구 916-5),방범,37.529865,126.84274,1,2021-01-29
강서구,C251100_화곡1동 924-21(고정3) - 유림노르웨이숲 방향,방범,37.5298654,126.841499,1,2021-01-29
강서구,C251100_화곡1동 924-21(고정1) - 효심공원 방향,방범,37.52986547,126.8414992,1,2021-01-29
